time,mmsi,stat,rot,sog,pos_acc,x,y,cog,truehead,nm,tp,imo,cs,length,width,draught,eta,dest,iso3,dwt
2018/09/13 23:59:35,413452260,1,0,2,0,118.102715,38.960968,3541,248,TAI PING SHAN 26,70,0,BLFG3,190,31,0,0,604224@CAOFEIDIAN,,3306
2018/09/13 23:59:27,413452530,1,0,2,0,117.996216,38.972389,2997,214,CHANG AN 212,70,0,BLGA2,163,26,0,0,578112@T Z,,3306
2018/09/13 23:59:04,413641000,1,0,2,0,118.022011,38.974602,3461,261,CHANG RONG MEN,70,0,BHCE,149,22,0,0,573860@QIN HUANG DAO,CHN,33750
2018/09/13 23:58:44,413702180,1,128,0,0,117.984421,38.975666,2016,511,,0,0,,0,0,0,0,602752@JINZHOU,,3306
2018/09/13 23:57:42,414294000,1,0,1,0,118.111069,38.948742,3067,227,ANJI 23,70,9776858,BICL7,169,28,0,0,592896@SHANGHAI,,3306
2018/09/13 23:57:24,414363000,1,0,2,0,118.053833,38.976494,3449,253,JIA XI,70,9465796,BQMO,225,32,0,0,611008@TIANJIN,,3306
2018/09/13 23:57:23,414401370,1,0,1,0,117.994652,38.983398,1106,214,ZHE XIANG 828,70,0,BTJB5,159,24,0,0,605312@CHEN JIA GANG,,3306
2018/09/13 23:58:50,477190600,1,0,3,0,118.031631,38.956482,3175,229,SITC QINGDAO,70,9610547,VRLI4,144,23,0,0,594654@CN SHA,,3306
2018/09/13 23:59:20,477637400,1,0,2,0,118.082611,38.946823,3478,246,,0,0,,0,0,0,0,616640@TIAN JIN,,3306
2018/09/13 23:54:06,778899988,0,0,4,0,118.010681,38.988110,790,511,,0,0,,0,0,0,0,0@,,0
2018/09/14 00:05:35,412408090,1,0,3,0,118.080093,38.971455,3377,236,MING ZHOU 20,70,8316601,BLCW,224,32,0,0,607710@QINHUANGDAO,CHN,64944
2018/09/14 00:04:35,412513000,1,0,2,0,118.086769,38.990788,3576,266,XIN XIANG RUI,70,9032707,BINK,157,25,0,0,588766@CAOFEIDIAN,CHN,22154
2018/09/14 00:06:07,412704420,1,250,2,0,118.009888,38.956921,3540,253,NAN HUI 77,70,0,BVMN5,153,21,0,0,565824@TIAN JIN,,3306
